Id_Encuesta,Id_Encuestado,LOCALIDAD,P1.1 Rango de edad,ESTRATO,P1. ¿Cuántos años tiene? (ENC: ANOTE LA EDAD EXACTA Y TAMBIEN SELECCIONE EL RANGO),P2,P6,P7,P106,P102,P103,P109,P111,P112,P117_1,P117_2,P117_3,P121,P122,P123,P447_1,P447_2,P447_3,P447_4,P447_5,P447_6,P128,P203,P204_A,P204_B,P204_C,P204_D,P204_E,P204_F,P204_G,P204_H,P204_I,P204_J,P204_K,P204_L,P204_M,P204_N,P204_O,P204_P,P204_Q,P204_R,P238_1,P238_2,P238_3,P214_1,P214_2,P214_3,P214_4,P214_5,P214_6,P214_7,P214_8,P214_9,P214_10,P214_11,P214_12,P214_13,P214_14,P214_15,P214_16,P214_17,P214_18,P206_1,P206_2,P206_3,P206_4,P206_5,P206_6,P206_7,P206_8,P206_9,P206_10,P206_11,P206_12,P206_13,P206_14,P206_15,P206_16,P206_17,P206_18,P209_1,P209_2,P209_3,P209_4,P209_5,P209_6,P209_7,P209_8,P209_9,P209_10,P209_11,P209_12,P209_13,P209_14,P209_15,P209_16,P209_17,P209_18,P204_1_1_A,P204_1_1_B,P204_1_1_C,P204_1_1_D,P204_1_1_E,P204_1_1_F,P204_1_1_G,P207,P208,P208_A,P208_B,P208_C,P208_C,P208_E,P208_F,P208_O,P208_OTRO,P230,P233,P234,P234_A,P234_B,P234_C,P234_D,P234_E,P234_F,P234_G,P234_H,P234_I,P234_K,P234_L,P234_M,P234_N,P234_O,P234_P,P234_Q,P234_R,P234_S,P234_T,P234_U,P234_V,P304,P305,P308,P310_1,P310_2,"P311.1. Decisiones de libertad (medidas de aseguramiento, detención domiciliaria, medida intramural y prisión domiciliaria)",P450_A,P450_B,P450_C,P450_D,P450_E,P405,P407,P407_A,P407_B,P407_C,P407_1,P412_A,P412_B,P412_C,P412_D,P412_E,P412_F,P417,P418,P421,P444.,CLAVE,FEX
o   020SEG_Percepción_y_Victimización_en_Bogotá,11,Suba,De 46 a 55 años,Estrato 5,99,Hijo(a) o Hijastro(a),Independiente,Femenino,Ha Aumentado,Inseguro,Inseguro,Semáforos,Ni seguro ni inseguro,,Hurto a residencias,Ciber Crimen (delito electrónico),"Hurto a personas (Atraco,
cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Si,No,3. Por la falta de confianza en las instituciones,Si,No,No,No Aplica,No,No,Noticieros de televisión,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,No tuve relación,No,,"Acabar con la corrupción en
la policía",Mejorar la justicia,1. Muy Malo,1. Muy Malo,1. Muy Malo,1. Muy Malo,1. Muy Malo,3. Regular,Si sabe,,Si,Si,Si,Todos los días,5 Muy buena,4 Buena,5 Muy buena,4 Buena,5 Muy buena,5 Muy buena,Si,1,4 Bien ,No,SubaEstrato 5,1539.639451
o   020SEG_Percepción_y_Victimización_en_Bogotá,12,Suba,De 46 a 55 años,Estrato 3,52,Jefe(a),Empleado,Femenino,Ha Aumentado,Inseguro,Inseguro,Calles,Inseguro,"1. Operacionalidad del sistema (aglomeraciones, frecuencias horarios)","Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Feminicidio (Asesinato de mujeres),Vandalismo ,Si,Si,,,,,,,,Noticieros de televisión,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Si,,Si,Si,Si,No,No,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,Si,Si,No tuve relación,No,,"Aumentar el pie de fuerza de
la policía","Acabar con la corrupción en
la policía",1. Muy Malo,3. Ni bueno ni malo,1. Muy Malo,2. Malo,2. Malo,2. Malo,No Sabe,,,,,De vez en cuando en el mes,,,,,,,No,,,No,SubaEstrato 3,1538.099427
o   020SEG_Percepción_y_Victimización_en_Bogotá,13,Suba,De 36 a 45 años,Estrato 5,37,Jefe(a),Empleado,Femenino,Ha Aumentado,Seguro,Inseguro,Parques,Muy Inseguro,"5. Factores conflictividad que afecten el sistema (Barras futboleras, colados, intolerancia, protestas, bloqueos, vandalismo)",Desaparición forzada,Homicidio,Vandalismo ,Si,No,4. Por la corrupción,Si,No,No,No Aplica,No,No,Comentarios de la gente (voz a voz),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,No tuve relación,No,,Generar políticas de reactivación económica,Aumentar la inversión social,3. Ni bueno ni malo,3. Ni bueno ni malo,2. Malo,2. Malo,3. Ni bueno ni malo,4. Bueno,Si sabe,,Si,Si,Si,Algunos días de la semana ,4 Buena,3 Ni bueno ni malo,3 Ni bueno ni malo,3 Ni bueno ni malo,3 Ni bueno ni malo,4 Buena,Si,1,4 Bien ,Si,SubaEstrato 5,1539.639451
o   020SEG_Percepción_y_Victimización_en_Bogotá,14,Suba,De 46 a 55 años,Estrato 6,53,Esposo(a) o compañero(a),Empleado,Femenino,Sigue Igual,Seguro,Inseguro,Parques,Muy Inseguro,"8. Hurtos (atraco, cosquilleo, raponazo)","Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Violencia Sexual,Hurto de vehículos (o alguna de sus partes),Si,Si,,,,,,,,Experiencias de familiares,Si,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,Raponazo,No,No,Sí,No,No,No,Fuerza,Celular,No,Sí,No,No,No,No,No,,Si,No,,,,,,,,,,,,,,,,,,,,,,,No tuve relación,No,,"Acabar con la corrupción en
la policía",Generar políticas de reactivación económica,2. Malo,2. Malo,1. Muy Malo,1. Muy Malo,2. Malo,4. Bueno,No Sabe,,,,,Algunos días de la semana ,,,,,,,No,,,No,SubaEstrato 6,1539.639451
o   020SEG_Percepción_y_Victimización_en_Bogotá,15,Barrios Unidos,Más de 55 años,Estrato 3,59,Jefe(a),Empleado,Femenino,Ha Aumentado,Inseguro,Inseguro,Puentes peatonales,Inseguro,"2. Presencia de personas vulnerables en el sistema (habitantes de calle, vendedores informales)",Lesiones personales,Lesiones personales,"Violencia contra la mujer (física, psicológica o económica)",Si,No,"1. Por la inestabilidad social (vandalismo, asonadas)",Si,Si,Si,No Aplica,No,No,Noticieros de televisión,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,Bueno,No,,Generar políticas de reactivación económica,"Acabar con la corrupción en
la policía",3. Ni bueno ni malo,3. Ni bueno ni malo,2. Malo,3. Ni bueno ni malo,3. Ni bueno ni malo,3. Regular,Si sabe,,No,No,Si,De vez en cuando en el mes,,,,,,,No,,,Si,Barrios UnidosEstrato 3,1534.232571
o   020SEG_Percepción_y_Victimización_en_Bogotá,16,Suba,De 36 a 45 años,Estrato 5,40,Esposo(a) o compañero(a),Empleado,Femenino,Sigue Igual,Seguro,Inseguro,Puentes peatonales,Muy Inseguro,"1. Operacionalidad del sistema (aglomeraciones, frecuencias horarios)",Hurto a residencias,Hurto de vehículos (o alguna de sus partes),Venta de drogas,Si,No,4. Por la corrupción,Si,Si,Si,Si,Si,Si,Noticieros de televisión,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,No tuve relación,No,,Aumentar la inversión social,Generar políticas de reactivación económica,1. Muy Malo,1. Muy Malo,2. Malo,1. Muy Malo,2. Malo,4. Bueno,Si sabe,,Si,No,Si,Todos los días,,,,,,,No,,,Si,SubaEstrato 5,1539.639451
o   020SEG_Percepción_y_Victimización_en_Bogotá,17,Barrios Unidos,De 26 a 35 años,Estrato 4,28,Hijo(a) o Hijastro(a),Otro,Femenino,Ha Aumentado,Seguro,Inseguro,Puentes peatonales,Inseguro,"9. Exposición a miradas obscenas, piropos y manoseos (acoso sexual) ",Violencia Sexual,"Hurto a personas (Atraco,
cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Violencia Sexual,Si,Si,,,,,,,,Experiencias de familiares,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,Regular,Si,4. Buena,Aumentar la inversión social,Mejorar la justicia,3. Ni bueno ni malo,2. Malo,2. Malo,2. Malo,2. Malo,3. Regular,Si sabe,,No,No,No,De vez en cuando en el mes,,,,,,,No,,,Si,Barrios UnidosEstrato 4,1534.232571
o   020SEG_Percepción_y_Victimización_en_Bogotá,18,Usme,De 36 a 45 años,Estrato 2,42,Jefe(a),Empleado,Masculino,Ha Aumentado,Inseguro,Inseguro,Ciclo Rutas,Inseguro,"8. Hurtos (atraco, cosquilleo, raponazo)",Hurto de vehículos (o alguna de sus partes),Extorsión,Vandalismo ,No,No,3. Por la falta de confianza en las instituciones,Si,Si,Si,No Aplica,No,Si,"Páginas oficiales en internet (Alcaldía, Fiscalía, Policía, Medicina legal) ",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,No tuve relación,No,,Mejorar la justicia,"Aumentar el pie de fuerza de
la policía",2. Malo,2. Malo,2. Malo,2. Malo,1. Muy Malo,3. Regular,No Sabe,,,,,Algunos días de la semana ,,,,,,,Si,1,5 Muy bien,No,UsmeEstrato 2,1537.450382
o   020SEG_Percepción_y_Victimización_en_Bogotá,19,Suba,De 26 a 35 años,Estrato 2,26,"Padre, Madre, Padrastro, Madrastra",Empleado,Femenino,Ha Aumentado,Inseguro,Inseguro,Potreros,Inseguro,"2. Presencia de personas vulnerables en el sistema (habitantes de calle, vendedores informales)","Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Lesiones personales,"Violencia contra la mujer (física, psicológica o económica)",Si,Si,,,,,,,,"Redes sociales (Twiter, Facebook, Grupos de Whatsapp)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Si,,No,No,No,No,Si,Si,Si,No,Si,No,Si,No,No,Si,No,No,No,Si,No,Si,No,No tuve relación,No,,"Acabar con la corrupción en
la policía",Aumentar la inversión social,3. Ni bueno ni malo,3. Ni bueno ni malo,1. Muy Malo,2. Malo,3. Ni bueno ni malo,3. Regular,No Sabe,,,,,De vez en cuando en el mes,,,,,,,Si,1,3 Ni bien ni mal,Si,SubaEstrato 2,1534.596413
o   020SEG_Percepción_y_Victimización_en_Bogotá,20,Suba,Más de 55 años,Estrato 3,60,Jefe(a),Desempleado,Femenino,Ha Aumentado,Seguro,Seguro,Ciclo Vías,Inseguro,"2. Presencia de personas vulnerables en el sistema (habitantes de calle, vendedores informales)","Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)","Violencia contra la mujer (física, psicológica o económica)",Violencia Intrafamiliar,No,No,"1. Por la inestabilidad social (vandalismo, asonadas)",No,No,No,No Aplica,No,Si,Noticieros de televisión,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,Regular,No,,Generar políticas de reactivación económica,"Aumentar el pie de fuerza de
la policía",3. Ni bueno ni malo,2. Malo,1. Muy Malo,5. Muy bueno,4. Bueno,5 Excelente,No Sabe,,,,,Todos los días,,,,,,,No,,,No,SubaEstrato 3,1538.099427
o   020SEG_Percepción_y_Victimización_en_Bogotá,21,Candelaria,De 46 a 55 años,Estrato 3,46,Jefe(a),Empleado,Femenino,Ha disminuido,Seguro,Inseguro,Potreros,Inseguro,4. Espacios abandonados o deteriorados cerca de estaciones,"Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Homicidio,Desplazamiento forzado,No,Si,,,,,,,,"Páginas oficiales en internet (Alcaldía, Fiscalía, Policía, Medicina legal) ",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Si,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Bueno,No,,Generar políticas de reactivación económica,Aumentar la inversión social,3. Ni bueno ni malo,2. Malo,2. Malo,3. Ni bueno ni malo,2. Malo,1. Pésimo,Si sabe,,Si,Si,Si,Todos los días,3 Ni bueno ni malo,3 Ni bueno ni malo,2 Mala,2 Mala,3 Ni bueno ni malo,3 Ni bueno ni malo,Si,3,2 Mal ,Si,CandelariaEstrato 3,1724.31
o   020SEG_Percepción_y_Victimización_en_Bogotá,22,Suba,Más de 55 años,Estrato 4,62,Jefe(a),Hogar,Femenino,Ha Aumentado,Inseguro,Inseguro,Puentes peatonales,Muy Inseguro,3. Actividades ilegales alrededor de las estaciones,Violencia Intrafamiliar,"Violencia contra la mujer (física, psicológica o económica)",Desaparición forzada,No,No,4. Por la corrupción,Si,No Aplica,Si,No Aplica,Si,No Aplica,Radio,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,No tuve relación,No,,Aumentar la inversión social,Generar políticas de reactivación económica,2. Malo,3. Ni bueno ni malo,3. Ni bueno ni malo,2. Malo,2. Malo,4. Bueno,No Sabe,,,,,Todos los días,,,,,,,No,,,Si,SubaEstrato 4,1538.099427
o   020SEG_Percepción_y_Victimización_en_Bogotá,23,Ciudad Bolivar,De 26 a 35 años,Estrato 1 ,33,Esposo(a) o compañero(a),Hogar,Femenino,Ha Aumentado,Inseguro,Inseguro,Semáforos,Inseguro,"8. Hurtos (atraco, cosquilleo, raponazo)","Hurto a personas (Atraco, cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)","Hurto a personas (Atraco,
cosquilleo, raponazo, fraude, engaño, paseo millonario, etc)",Homicidio,Si,No,"1. Por la inestabilidad social (vandalismo, asonadas)",Si,No,No,No,Si,Si,Noticieros de televisión,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,,,,,,,,,,,,,,,,,,,,,,,No tuve relación,No,,Mejorar la justicia,"Acabar con la corrupción en
la policía",1. Muy Malo,2. Malo,2. Malo,2. Malo,1. Muy Malo,2. Malo,Si sabe,,Si,No,No,Algunos días de la semana ,,,,,,,No,,,No,Ciudad BolivarEstrato 1 ,1536.553502
